date,name,submitted_by,result_url,course_url
06/10/2024,Run in Lyon - Marathon 2024,jidoeuf,http://https://resultscui.active.com/events/RuninLyonbyHarmonieMutuelle2024,https://www.kikourou.net/calendrier/course-208431-run_in_lyon_-_marathon-2024.html
06/10/2024,La Foulée nature du Crossey - Trail - 19 km 2024,loulou-38,http://https://,https://www.kikourou.net/calendrier/course-205679-la_fouln_e_nature_du_crossey_-_trail_-_19_km-2024.html
06/10/2024,Run in Lyon - Marathon 2024,Eclatomax,http://https://https://resultscui.active.com/events/RuninLyonbyHarmonieMutuelle2024,https://www.kikourou.net/calendrier/course-208431-run_in_lyon_-_marathon-2024.html
06/10/2024,Run in Lyon - Marathon 2024,Eclatomax,http://https://,https://www.kikourou.net/calendrier/course-208431-run_in_lyon_-_marathon-2024.html
29/09/2024,Marathon de Berlin 2024,MarathonGo,http://https://berlin.r.mikatiming.com/2024/?pid=list,https://www.kikourou.net/calendrier/course-208015-marathon_de_berlin-2024.html
06/10/2024,10 km des Sources du Lac d'Annecy 2024,Frédéric,http://https://www.chronocompetition.com/wp-content/glive/g-live.html?f=../2024/Semi-2024.clax,https://www.kikourou.net/calendrier/course-208273-10_km_des_sources_du_lac_d_annecy-2024.html
07/07/2024,Trail du Mont Aigoual - 6 km 2024,pialot,http://https://www.endurancechrono.com/fr/Trail_du_Mont_Aigoual_8?list=all,https://www.kikourou.net/calendrier/course-205691-trail_du_mont_aigoual_-_6_km-2024.html
07/07/2024,Trail du Mont Aigoual - 22 km 2024,pialot,http://https://www.endurancechrono.com/fr/Trail_du_Mont_Aigoual_8?list=all,https://www.kikourou.net/calendrier/course-205689-trail_du_mont_aigoual_-_22_km-2024.html
07/07/2024,Trail du Mont Aigoual - 12 km 2024,pialot,http://https://www.endurancechrono.com/fr/Trail_du_Mont_Aigoual_8?list=all,https://www.kikourou.net/calendrier/course-205690-trail_du_mont_aigoual_-_12_km-2024.html
28/09/2024,10 km de Valence 2024,HugoMagnan,http://https://chronoconsult.fr/result/2024-5et10kmdevalence/,https://www.kikourou.net/calendrier/course-209349-10_km_de_valence-2024.html
04/09/2024,Ultra Tour du Mont Rose - Ultra Tour - 170 km - 4 étapes 2024,Navier38,http://https://www.betrail.run/race/utmr.-.ultra.tour.monte.rosa/2024/102km/results#d,https://www.kikourou.net/calendrier/course-203400-ultra_tour_du_mont_rose_-_ultra_tour_-_170_km_-_4_n_tapes-2024.html
21/09/2024,Belle-Ile en Trail - 81 km 2024,kiki91,http://https://https://glive.oxybol.fr/public/g-live.html?f=../oxybol/BIET/2024/biet2024.clax,https://www.kikourou.net/calendrier/course-194932-belle-ile_en_trail_-_81_km-2024.html
29/09/2024,Trail du Petit Saint-Bernard - 68 km 2024,PhilippeG-640,http://live.l-chrono.com/resultats/trail-du-petit-saint-bernard-2024,https://www.kikourou.net/calendrier/course-201124-trail_du_petit_saint-bernard_-_68_km-2024.html
29/09/2024,Trail du Petit Saint-Bernard - 68 km 2024,PhilippeG-640,http://https://live.l-chrono.com/resultats/trail-du-petit-saint-bernard-2024,https://www.kikourou.net/calendrier/course-201124-trail_du_petit_saint-bernard_-_68_km-2024.html
22/09/2024,Semi-Marathon Beneva de Montreal 2024,chongokan,http://https://sportstats.one/results/142119,https://www.kikourou.net/calendrier/course-204154-semi-marathon_beneva_de_montreal-2024.html
15/09/2024,Semi-Marathon de Mâcon 2024,DUTOUR,http://https://yaka-chrono.com/wp-content/uploads/2023/06/SemiMacon2024_Classement-General-Semi-Marathon_2.pdf,https://www.kikourou.net/calendrier/course-208716-semi-marathon_de_mnocon-2024.html
29/09/2024,Marathon Bière Flandre Festival 2024,ArkaLuc,http://www.prolivesport.fr/index.php?chap=event&sub=liveV3&eventId=990&race=Marathon&page=1,https://www.kikourou.net/calendrier/course-208942-marathon_bin_re_flandre_festival-2024.html
24/08/2024,Trail du Bocage - 15 km Nocturne 2024,Patator4,http://https://www.betrail.run/race/trail.du.bocage/2024/overview,https://www.kikourou.net/calendrier/course-211154-trail_du_bocage_-_15_km_nocturne-2024.html
21/09/2024,La Skyrhune - Pottoken Lasterka 2024,defi13,http://https://pb-organisation.com/resultats/skyrhune-2024/,https://www.kikourou.net/calendrier/course-203092-la_skyrhune_-_pottoken_lasterka-2024.html
13/09/2024,Wildstrubel by UTMB - 113 km 2024,Ptigeorges,http://https://wildstrubel.utmb.world/fr/races-runners/runners/results?year=2024&raceUri=31123.wildstrubelbyutmbwild110.2024,https://www.kikourou.net/calendrier/course-201180-wildstrubel_by_utmb_-_113_km-2024.html
04/05/2024,Saint Cham R'Urban Trail - 10 km 2024,chouca42,http://https://www.logicourse.fr/images/newsite/manifestations/stchamond/stchamond2024km10.pdf,https://www.kikourou.net/calendrier/course-204111-saint_cham_r_urban_trail_-_10_km-2024.html
04/05/2024,Saint Cham R'Urban Trail - 21 km 2024,chouca42,http://https://www.logicourse.fr/images/newsite/manifestations/stchamond/stchamond2024km21.pdf,https://www.kikourou.net/calendrier/course-204110-saint_cham_r_urban_trail_-_21_km-2024.html
21/09/2024,Trail des 3 Provinces - 11 km 2024,AxxxL,http://https://www.timepulse.fr/epreuves/resultats/2636,https://www.kikourou.net/calendrier/course-209125-trail_des_3_provinces_-_11_km-2024.html
18/02/2024,Les Foulées San Priotes - 21.1 km 2024,Azding,http://https://www.sport-info.com/i_liste_resultats.php?id=285&general=1&epreuve=3510&nom=&dossard=&groupe=,https://www.kikourou.net/calendrier/course-199436-les_fouln_es_san_priotes_-_21.1_km-2024.html
22/06/2024,AravisTrail - 48 km 2024,Azding,http://https://live.l-chrono.com/resultats/aravistrail-2024,https://www.kikourou.net/calendrier/course-206239-aravistrail_-_48_km-2024.html
08/09/2024,L'Ancilévienne 2024,Frédéric,http://https://live.l-chrono.com/resultats/ancilevienne-2024,https://www.kikourou.net/calendrier/course-206914-l_anciln_vienne-2024.html
08/09/2024,La Course de la Rentrée - 15 km 2024,Alexandre Pengloan,http://https://course-de-la-rentree-2024.onsinscrit.com/resultats.php?distance=1&type=scratch,https://www.kikourou.net/calendrier/course-208158-la_course_de_la_rentrn_e_-_15_km-2024.html
08/09/2024,La Sucycienne - 10 km 2024,PhilippeG-640,http://athle.live/challenge/66a5dce44760e63b9e604270/group/66a5e098837786f416d8ea25,https://www.kikourou.net/calendrier/course-208146-la_sucycienne_-_10_km-2024.html
08/09/2024,Altkirch Trail Urbain 2024,Eric Massot-Pellet,http://https://https://www.sporkrono.fr/courses/336960322/altkirch-trail-urbain/,https://www.kikourou.net/calendrier/course-208090-altkirch_trail_urbain-2024.html
