competition_name,distance,date,competition_type,location,ligue,department,type,level,Nombre_Coureur
Championnats départementaux de cross (69) à anse,"2780.0, 3220.0, 3860.0, 4200.0, 5920.0, 6900.0, 8180.0, 8520.0",14/01/24,Cross,Anse,ARA,69.0,,Dép,878
Championnats départementaux de cross country,"1150.0, 1200.0, 2200.0, 2350.0, 3150.0, 3400.0, 4200.0, 4350.0, 5600.0, 6350.0, 8350.0, 8400.0",07/01/24,Cross,Issoudun,CEN,36.0,Meet,Dép,940
Championnats départementaux de cross du var,"2470.0, 3060.0, 3747.0, 3749.0, 4220.0, 6220.0, 9540.0",14/01/24,Cross,Ollieres,PCA,83.0,,Dép,643
Championnats départementaux de cross-country,"1350.0, 1500.0, 2640.0, 2650.0, 2980.0, 3007.0, 3510.0, 3715.0, 3870.0, 4030.0, 4105.0, 4230.0, 4420.0, 5007.0, 5530.0, 6040.0, 6220.0, 7180.0, 8360.0, 8470.0, 9280.0",07/01/24,Cross,Saint vulbas,ARA,1.0,,Dép,912
Championnats départementaux de cross-country 2023-2024,"1500.0, 2550.0, 2850.0, 3150.0, 3700.0, 4050.0, 4550.0, 5900.0, 6000.0, 7050.0, 7950.0, 8100.0",13/01/24,Cross,Opio,PCA,6.0,,Dép,821
Championnats genevois de cross (sui),5000.0,10/02/24,Cross,Collonges bellerive (SUI),,0.0,Cham,Rég,7
Championnats ille et vilaine de cross country,"1965.0, 3005.0, 3665.0, 4705.0, 6025.0, 7015.0, 8715.0, 925.0",14/01/24,Cross,Saint onen la chapelle,BRE,35.0,,Dép,1268
Championnats large de cross,"2570.0, 3400.0, 4050.0, 4850.0, 5920.0, 6480.0, 7280.0, 9410.0",21/01/24,Cross,Sarrebourg,G-E,57.0,,Rég,1371
Championnats loire & volcans de cross country,"2900.0, 3400.0, 3890.0, 4900.0, 6390.0, 7390.0, 8890.0",28/01/24,Cross,Yzeure,ARA,3.0,,Rég,721
Championnats régionaux de cross,"2490.0, 3010.0, 3410.0, 3810.0, 4750.0, 5150.0, 5970.0, 7290.0, 7310.0, 9070.0",28/01/24,Cross,Belfort,BFC,90.0,,Rég,966
Championnats régionaux de cross-country - ile de france ,"3400.0, 3800.0, 5400.0, 6500.0, 7300.0, 9200.0",28/01/24,Cross,Clamart,I-F,92.0,,Rég,1485
Championnats régionaux de cross-country - île-de-france ,"2800.0, 3470.0, 4130.0, 4920.0, 6600.0, 7380.0, 8950.0",28/01/24,Cross,Aulnay sous bois,I-F,93.0,Cham,Rég,1623
Championnats régionaux de relais cross,,,Cross,Vineuil,CEN,41.0,Cham,Rég,0
Championnats régionaux de relais cross u14-u16,0.0,17/11/24,Cross,Saran,CEN,45.0,Cham,Rég,13
Championnats régionaux de relais cross u18-u20 et ttc,,,Cross,Amboise,CEN,37.0,,Rég,0
Championnats vallée du rhône de cross-country,"2500.0, 3500.0, 4000.0, 5050.0, 6800.0, 7500.0, 9300.0",28/01/24,Cross,Valence,ARA,26.0,Cham,Rég,781
Chpt départemental de cross du gers,"2200.0, 2900.0, 4800.0, 8150.0",14/01/24,Cross,L'isle de noe,OCC,32.0,,Dép,68
Chpts 95 cross,"1476.0, 200.0, 2219.0, 2747.0, 3490.0, 4116.0, 6130.0, 8125.0",14/01/24,Cross,Argenteuil,I-F,95.0,,Dép,1118
Chpts départ.de cross court et cross relais u18 et +,"1000.0, 2290.0, 2430.0, 4010.0",14/01/24,Cross,Reze,P-L,44.0,,Dép,782
Course du souffle parc pastre,"13000.0, 7000.0",29/09/24,Cross,Marseille,PCA,13.0,Meet,Dép,125
Course nature de blesmes,"1.0, 1000.0, 17300.0, 1998.0, 8000.0",20/10/24,Cross,Blesmes,H-F,2.0,Meet,Dép,155
Cross 1/2 finale région sud/ inter comités minimes,"4170.0, 4694.0, 5620.0, 7094.0, 8020.0, 9957.0",11/02/24,Cross,Fos sur mer,PCA,13.0,,Int,1005
Cross 1/4 finale région sud,"2690.0, 3665.0, 4095.0, 5095.0, 6500.0, 7500.0, 8930.0",28/01/24,Cross,Serres,PCA,5.0,Meet,Rég,752
Cross athle 632 plaisance du touch,"1240.0, 2270.0, 3260.0, 500.0, 5910.0, 8560.0",01/12/24,Cross,Plaisance du touch,OCC,31.0,Meet,Rég,600
Cross banana fit,"2500.0, 6500.0",06/01/24,Cross,Wittenheim,G-E,68.0,Meet,Dép,178
Cross bois notre dame,"1050.0, 200.0, 2050.0, 3350.0, 3950.0, 5650.0, 7900.0",21/01/24,Cross,Auterive,OCC,31.0,Meet,Dép,162
Cross country de tergnier,"1825.0, 200.0, 2885.0, 3495.0, 3935.0, 400.0, 5435.0, 8735.0",02/11/24,Cross,Tergnier,H-F,2.0,Meet,Rég,287
Cross d'echirolles - 7ème édition,"2600.0, 3200.0, 3500.0, 4700.0, 6100.0, 7500.0, 7900.0",01/12/24,Cross,Echirolles,ARA,38.0,Meet,Rég,319
Cross d'isle,"1495.0, 2500.0, 3000.0, 4000.0, 5500.0, 7000.0, 975.0",17/02/24,Cross,Isle,N-A,87.0,Meet,Dép,226
Cross d'ouverture de fourmies,"150.0, 1500.0, 1900.0, 3020.0, 3970.0, 5480.0, 6990.0",17/11/24,Cross,Fourmies,H-F,59.0,Meet,Rég,239
Cross de balan,"1100.0, 1500.0, 2500.0, 2900.0, 3900.0",10/02/24,Cross,Balan,ARA,1.0,Anim,Dép,160
Cross de bayel,"1450.0, 2400.0, 3250.0, 4200.0, 5500.0, 6050.0, 700.0, 8350.0",07/01/24,Cross,Bayel,G-E,10.0,Cham,Dép,152
Cross de bedanne,"1350.0, 3600.0, 5850.0, 8100.0",28/01/24,Cross,Tourville la riviere,NOR,76.0,Meet,Dép,166
Cross de chantilly,"1500.0, 2690.0, 3420.0, 3960.0, 5500.0, 7960.0",17/11/24,Cross,Chantilly,H-F,60.0,Meet,Rég,288
Cross de cloture,"1495.0, 2370.0, 3180.0, 4700.0, 6260.0, 830.0",02/03/24,Cross,Panazol,N-A,87.0,Meet,Dép,208
Cross de jonzac,"1000.0, 4520.0",16/03/24,Cross,Jonzac,N-A,17.0,Meet,Dép,134
Cross de l' us saintes athlétisme,"1720.0, 2200.0, 2870.0, 2874.0, 3270.0, 4456.0, 8075.0, 830.0, 915.0",17/11/24,Cross,Saintes,N-A,17.0,Meet,Rég,556
Cross de l'aj bastia,"1300.0, 2600.0, 3900.0, 5200.0, 7800.0",15/01/24,Cross,Bastia,COR,202.0,Meet,Dép,28
Cross de l'amicale,"1000.0, 2000.0, 3500.0, 4500.0, 6000.0, 8500.0",04/02/24,Cross,Troyes,G-E,10.0,Meet,Dép,163
Cross de l'erduriere,"1346.0, 2662.0, 3372.0, 3452.0, 3960.0, 4670.0, 5888.0, 6678.0, 8400.0, 8404.0, 859.0",10/11/24,Cross,Coueron,P-L,44.0,Meet,Rég,1122
Cross de la bachasse,"0.0, 2020.0, 2110.0, 2720.0, 3940.0, 5250.0, 7870.0",10/11/24,Cross,Sainte foy les lyon,ARA,69.0,Meet,Rég,900
Cross de la chatre,"1000.0, 2000.0, 3000.0, 4000.0",20/01/24,Cross,La chatre,CEN,36.0,Meet,Dép,96
Cross de la cite,"1809.0, 1891.0, 2610.0, 3893.0, 4965.0, 5789.0, 7557.0, 9899.0",01/12/24,Cross,Carcassonne,OCC,11.0,Meet,Rég,228
Cross de la fraternelle de chateau gaillard    à iloa  q,"1500.0, 1800.0, 3600.0, 5400.0, 7200.0",04/02/24,Cross,Thiers,ARA,63.0,Meet,Dép,309
Cross de la jsf,"1300.0, 1900.0, 2500.0, 3500.0",10/11/24,Cross,Le francois,MAR,972.0,Meet,Rég,168
